Change Component Footprint: Designator=U1 Old Footprint=N0014A New Footprint=PW0014A_N
Change Component Comment : Designator=U1 Old Comment=TL974IN New Comment=TL974IPWR
Change Managed Component Library Link : Designator=U1 Old VaultGUID=E2872210-1710-4F7B-8EBA-C52406E43E6D New VaultGUID=E2872210-1710-4F7B-8EBA-C52406E43E6D Old ItemGUID=8b50ec26-501a-4964-b08b-03d54aac788b New ItemGUID=01df697c-446a-4fb0-ada3-cfe713f4f77d Old RevisionGUID=df8e944e-c0d6-4ef9-a9ce-923368630239 New RevisionGUID=c2d48db3-8c82-4b55-be43-b311d96b495c
Change component parameters: Designator = "J1" ("J1"); Footprint = "61300611121-Footprint-1"; UniqueID = "\BXGNGDFD" ("\BXGNGDFD")
Change component parameters (AddParameter): Name = "Body Breadth"; Value = "0.1inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body Depth"; Value = "0.1inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body Length"; Value = "0.6inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body/Shell Style"; Value = "PLUG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "BOARD CONNECTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "GOLD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Termination"; Value = "Gold (Au) - with Nickel (Ni) barrier"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Copper Alloy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Pattern"; Value = "RECTANGULAR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "20mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Style"; Value = "SQ PIN-SKT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Withstanding Voltage (AC)"; Value = "500V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Material"; Value = "Polybutylene"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "1GR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JESD-609 Code"; Value = "e4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Contact Pitch"; Value = "0.1inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
